framework,task,precision,recall,f1,balanced_accuracy,kappa,n
promptfoo_closedqa,hallucination,1.0,0.95,0.9744,0.975,0.95,40
promptfoo_geval,hallucination,1.0,0.95,0.9744,0.975,0.95,40
promptfoo_llm_rubric,hallucination,0.95,0.95,0.95,0.95,0.9,40
garak_baseline,hallucination,0.5405,1.0,0.7018,0.575,0.15,40
promptfoo_geval,jailbreak,1.0,1.0,1.0,1.0,1.0,40
promptfoo_closedqa,jailbreak,0.9524,1.0,0.9756,0.975,0.95,40
promptfoo_llm_rubric,jailbreak,0.9524,1.0,0.9756,0.975,0.95,40
garak_baseline,jailbreak,0.0,0.0,0.0,0.5,0.0,40
promptfoo_closedqa,refusal,1.0,1.0,1.0,1.0,1.0,40
promptfoo_llm_rubric,refusal,0.9375,0.75,0.8333,0.85,0.7,40
promptfoo_geval,refusal,0.3333,0.4,0.3636,0.3,-0.4,40
garak_baseline,refusal,1.0,0.1,0.1818,0.55,0.1,40
